Fecha,Año,Mes,dia,Trimestre,Dia_semana,Semana,Dia_año,Numero de Asegurados
2012-01-01,2012,1,1,1,1,1,1,603160
2012-02-01,2012,2,1,1,4,5,4,612813
2012-03-01,2012,3,1,1,5,9,5,616574
2012-04-01,2012,4,1,2,1,14,1,616036
2012-05-01,2012,5,1,2,3,18,3,626015
2012-06-01,2012,6,1,2,6,22,6,622641
2012-07-01,2012,7,1,3,1,27,1,623115
2012-08-01,2012,8,1,3,4,31,4,624644
2012-09-01,2012,9,1,3,7,35,7,624099
2012-10-01,2012,10,1,4,2,40,2,627408
2012-11-01,2012,11,1,4,5,44,5,641451
2012-12-01,2012,12,1,4,7,48,7,643538
2013-01-01,2013,1,1,1,3,1,3,651130
2013-02-01,2013,2,1,1,6,5,6,661617
2013-03-01,2013,3,1,1,6,9,6,664051
2013-04-01,2013,4,1,2,2,14,2,669625
2013-05-01,2013,5,1,2,4,18,4,673951
2013-06-01,2013,6,1,2,7,22,7,675391
2013-07-01,2013,7,1,3,2,27,2,676207
2013-08-01,2013,8,1,3,5,31,5,678861
2013-09-01,2013,9,1,3,1,36,1,673116
2013-10-01,2013,10,1,4,3,40,3,677667
2013-11-01,2013,11,1,4,6,44,6,692167
2013-12-01,2013,12,1,4,1,49,1,687804
2014-01-01,2014,1,1,1,4,1,4,690870
2014-02-01,2014,2,1,1,7,5,7,698226
2014-03-01,2014,3,1,1,7,9,7,705692
2014-04-01,2014,4,1,2,3,14,3,702076
2014-05-01,2014,5,1,2,5,18,5,711910
2014-06-01,2014,6,1,2,1,23,1,709019
2014-07-01,2014,7,1,3,3,27,3,709240
2014-08-01,2014,8,1,3,6,31,6,710907
2014-09-01,2014,9,1,3,2,36,2,710087
2014-10-01,2014,10,1,4,4,40,4,716037
2014-11-01,2014,11,1,4,7,44,7,731774
2014-12-01,2014,12,1,4,2,49,2,725014
2015-01-01,2015,1,1,1,5,1,5,732885
2015-02-01,2015,2,1,1,1,6,1,743822
2015-03-01,2015,3,1,1,1,10,1,753626
2015-04-01,2015,4,1,2,4,14,4,755434
2015-05-01,2015,5,1,2,6,18,6,769880
2015-06-01,2015,6,1,2,2,23,2,770317
2015-07-01,2015,7,1,3,4,27,4,774810
2015-08-01,2015,8,1,3,7,31,7,781638
2015-09-01,2015,9,1,3,3,36,3,784168
2015-10-01,2015,10,1,4,5,40,5,795991
2015-11-01,2015,11,1,4,1,45,1,807678
2015-12-01,2015,12,1,4,3,49,3,810654
2016-01-01,2016,1,1,1,6,1,6,824865
2016-02-01,2016,2,1,1,2,6,2,835631
2016-03-01,2016,3,1,1,3,10,3,838030
2016-04-01,2016,4,1,2,6,14,6,840436
2016-05-01,2016,5,1,2,1,19,1,842849
2016-06-01,2016,6,1,2,4,23,4,845268
2016-07-01,2016,7,1,3,6,27,6,847695
2016-08-01,2016,8,1,3,2,32,2,850129
2016-09-01,2016,9,1,3,5,36,5,852569
2016-10-01,2016,10,1,4,7,40,7,855017
2016-11-01,2016,11,1,4,3,45,3,857472
2016-12-01,2016,12,1,4,5,49,5,859933
2017-01-01,2017,1,1,1,1,1,1,738018
2017-02-01,2017,2,1,1,4,5,4,747669
2017-03-01,2017,3,1,1,4,9,4,752662
2017-04-01,2017,4,1,2,7,13,7,752277
2017-05-01,2017,5,1,2,2,18,2,756177
2017-06-01,2017,6,1,2,5,22,5,753825
2017-07-01,2017,7,1,3,7,26,7,751209
2017-08-01,2017,8,1,3,3,31,3,748804
2017-09-01,2017,9,1,3,6,35,6,747029
2017-10-01,2017,10,1,4,1,40,1,750441
2017-11-01,2017,11,1,4,4,44,4,761356
2017-12-01,2017,12,1,4,6,48,6,758663
2018-01-01,2018,1,1,1,2,1,2,767972
2018-02-01,2018,2,1,1,5,5,5,777055
2018-03-01,2018,3,1,1,5,9,5,783794
2018-04-01,2018,4,1,2,1,14,1,781371
2018-05-01,2018,5,1,2,3,18,3,771331
2018-06-01,2018,6,1,2,6,22,6,740106
2018-07-01,2018,7,1,3,1,27,1,712782
2018-08-01,2018,8,1,3,4,31,4,701775
2018-09-01,2018,9,1,3,7,35,7,695575
2018-10-01,2018,10,1,4,2,40,2,694657
2018-11-01,2018,11,1,4,5,44,5,701217
2018-12-01,2018,12,1,4,7,48,7,696644
2019-01-01,2019,1,1,1,3,1,3,698245
2019-02-01,2019,2,1,1,6,5,6,696934
2019-03-01,2019,3,1,1,6,9,6,693919
2019-04-01,2019,4,1,2,2,14,2,685118
2019-05-01,2019,5,1,2,4,18,4,684654
2019-06-01,2019,6,1,2,7,22,7,677281
2019-07-01,2019,7,1,3,2,27,2,672334
2019-08-01,2019,8,1,3,5,31,5,668811
2019-09-01,2019,9,1,3,1,36,1,663115
2019-10-01,2019,10,1,4,3,40,3,667274
2019-11-01,2019,11,1,4,6,44,6,676616
2019-12-01,2019,12,1,4,1,49,1,674881
2020-01-01,2020,1,1,1,4,1,4,681311
2020-02-01,2020,2,1,1,7,5,7,689615
2020-03-01,2020,3,1,1,1,10,1,687441
2020-04-01,2020,4,1,2,4,14,4,668373
2020-05-01,2020,5,1,2,6,18,6,658028
2020-06-01,2020,6,1,2,2,23,2,648019
2020-07-01,2020,7,1,3,4,27,4,645696
2020-08-01,2020,8,1,3,7,31,7,648613
2020-09-01,2020,9,1,3,3,36,3,649338
2020-10-01,2020,10,1,4,5,40,5,660318
2020-11-01,2020,11,1,4,1,45,1,666882
2020-12-01,2020,12,1,4,3,49,3,675578
2021-01-01,2021,1,1,1,6,1,6,688607
2021-02-01,2021,2,1,1,2,6,2,696666
2021-03-01,2021,3,1,1,2,10,2,703638
2021-04-01,2021,4,1,2,5,14,5,705587
2021-05-01,2021,5,1,2,7,18,7,711587
2021-06-01,2021,6,1,2,3,23,3,709666
2021-07-01,2021,7,1,3,5,27,5,710019
2021-08-01,2021,8,1,3,1,32,1,710136
2021-09-01,2021,9,1,3,4,36,4,707489
2021-10-01,2021,10,1,4,6,40,6,715439
2021-11-01,2021,11,1,4,2,45,2,726154
2021-12-01,2021,12,1,4,4,49,4,721975
2022-01-01,2022,1,1,1,7,1,7,731705
2022-02-01,2022,2,1,1,3,6,3,736827
2022-03-01,2022,3,1,1,3,10,3,744934
2022-04-01,2022,4,1,2,6,14,6,741484
2022-05-01,2022,5,1,2,1,19,1,741490
2022-06-01,2022,6,1,2,4,23,4,753201
2022-07-01,2022,7,1,3,6,27,6,755908
2022-08-01,2022,8,1,3,2,32,2,758571
2022-09-01,2022,9,1,3,5,36,5,761201
2022-10-01,2022,10,1,4,7,40,7,763805
2022-11-01,2022,11,1,4,3,45,3,766387
2022-12-01,2022,12,1,4,5,49,5,768950
