Fecha,Año,Mes,dia,Numero de Asegurados
1/1/2012,2012,1,1,603160
1/2/2012,2012,2,1,612813
1/3/2012,2012,3,1,616574
1/4/2012,2012,4,1,616036
1/5/2012,2012,5,1,626015
1/6/2012,2012,6,1,622641
1/7/2012,2012,7,1,623115
1/8/2012,2012,8,1,624644
1/9/2012,2012,9,1,624099
1/10/2012,2012,10,1,627408
1/11/2012,2012,11,1,641451
1/12/2012,2012,12,1,643538
1/1/2013,2013,1,1,651130
1/2/2013,2013,2,1,661617
1/3/2013,2013,3,1,664051
1/4/2013,2013,4,1,669625
1/5/2013,2013,5,1,673951
1/6/2013,2013,6,1,675391
1/7/2013,2013,7,1,676207
1/8/2013,2013,8,1,678861
1/9/2013,2013,9,1,673116
1/10/2013,2013,10,1,677667
1/11/2013,2013,11,1,692167
1/12/2013,2013,12,1,687804
1/1/2014,2014,1,1,690870
1/2/2014,2014,2,1,698226
1/3/2014,2014,3,1,705692
1/4/2014,2014,4,1,702076
1/5/2014,2014,5,1,711910
1/6/2014,2014,6,1,709019
1/7/2014,2014,7,1,709240
1/8/2014,2014,8,1,710907
1/9/2014,2014,9,1,710087
1/10/2014,2014,10,1,716037
1/11/2014,2014,11,1,731774
1/12/2014,2014,12,1,725014
1/1/2015,2015,1,1,732885
1/2/2015,2015,2,1,743822
1/3/2015,2015,3,1,753626
1/4/2015,2015,4,1,755434
1/5/2015,2015,5,1,769880
1/6/2015,2015,6,1,770317
1/7/2015,2015,7,1,774810
1/8/2015,2015,8,1,781638
1/9/2015,2015,9,1,784168
1/10/2015,2015,10,1,795991
1/11/2015,2015,11,1,807678
1/12/2015,2015,12,1,810654
1/1/2016,2016,1,1,824865
1/2/2016,2016,2,1,835631
1/3/2016,2016,3,1,838030
1/4/2016,2016,4,1,840436
1/5/2016,2016,5,1,842849
1/6/2016,2016,6,1,845268
1/7/2016,2016,7,1,847695
1/8/2016,2016,8,1,850129
1/9/2016,2016,9,1,852569
1/10/2016,2016,10,1,855017
1/11/2016,2016,11,1,857472
1/12/2016,2016,12,1,859933
1/1/2017,2017,1,1,738018
1/2/2017,2017,2,1,747669
1/3/2017,2017,3,1,752662
1/4/2017,2017,4,1,752277
1/5/2017,2017,5,1,756177
1/6/2017,2017,6,1,753825
1/7/2017,2017,7,1,751209
1/8/2017,2017,8,1,748804
1/9/2017,2017,9,1,747029
1/10/2017,2017,10,1,750441
1/11/2017,2017,11,1,761356
1/12/2017,2017,12,1,758663
1/1/2018,2018,1,1,767972
1/2/2018,2018,2,1,777055
1/3/2018,2018,3,1,783794
1/4/2018,2018,4,1,781371
1/5/2018,2018,5,1,771331
1/6/2018,2018,6,1,740106
1/7/2018,2018,7,1,712782
1/8/2018,2018,8,1,701775
1/9/2018,2018,9,1,695575
1/10/2018,2018,10,1,694657
1/11/2018,2018,11,1,701217
1/12/2018,2018,12,1,696644
1/1/2019,2019,1,1,698245
1/2/2019,2019,2,1,696934
1/3/2019,2019,3,1,693919
1/4/2019,2019,4,1,685118
1/5/2019,2019,5,1,684654
1/6/2019,2019,6,1,677281
1/7/2019,2019,7,1,672334
1/8/2019,2019,8,1,668811
1/9/2019,2019,9,1,663115
1/10/2019,2019,10,1,667274
1/11/2019,2019,11,1,676616
1/12/2019,2019,12,1,674881
1/1/2020,2020,1,1,681311
1/2/2020,2020,2,1,689615
1/3/2020,2020,3,1,687441
1/4/2020,2020,4,1,668373
1/5/2020,2020,5,1,658028
1/6/2020,2020,6,1,648019
1/7/2020,2020,7,1,645696
1/8/2020,2020,8,1,648613
1/9/2020,2020,9,1,649338
1/10/2020,2020,10,1,660318
1/11/2020,2020,11,1,666882
1/12/2020,2020,12,1,675578
1/1/2021,2021,1,1,688607
1/2/2021,2021,2,1,696666
1/3/2021,2021,3,1,703638
1/4/2021,2021,4,1,705587
1/5/2021,2021,5,1,711587
1/6/2021,2021,6,1,709666
1/7/2021,2021,7,1,710019
1/8/2021,2021,8,1,710136
1/9/2021,2021,9,1,707489
1/10/2021,2021,10,1,715439
1/11/2021,2021,11,1,726154
1/12/2021,2021,12,1,721975
1/1/2022,2022,1,1,731705
1/2/2022,2022,2,1,736827
1/3/2022,2022,3,1,744934
1/4/2022,2022,4,1,741484
1/5/2022,2022,5,1,741490
1/6/2022,2022,6,1,753201
1/7/2022,2022,7,1,755908
1/8/2022,2022,8,1,758571
1/9/2022,2022,9,1,761201
1/10/2022,2022,10,1,763805
1/11/2022,2022,11,1,766387
1/12/2022,2022,12,1,768950
