Fecha,Numero de Asegurados
2012-01-01,603160
2012-02-01,612813
2012-03-01,616574
2012-04-01,616036
2012-05-01,626015
2012-06-01,622641
2012-07-01,623115
2012-08-01,624644
2012-09-01,624099
2012-10-01,627408
2012-11-01,641451
2012-12-01,643538
2013-01-01,651130
2013-02-01,661617
2013-03-01,664051
2013-04-01,669625
2013-05-01,673951
2013-06-01,675391
2013-07-01,676207
2013-08-01,678861
2013-09-01,673116
2013-10-01,677667
2013-11-01,692167
2013-12-01,687804
2014-01-01,690870
2014-02-01,698226
2014-03-01,705692
2014-04-01,702076
2014-05-01,711910
2014-06-01,709019
2014-07-01,709240
2014-08-01,710907
2014-09-01,710087
2014-10-01,716037
2014-11-01,731774
2014-12-01,725014
2015-01-01,732885
2015-02-01,743822
2015-03-01,753626
2015-04-01,755434
2015-05-01,769880
2015-06-01,770317
2015-07-01,774810
2015-08-01,781638
2015-09-01,784168
2015-10-01,795991
2015-11-01,807678
2015-12-01,810654
2016-01-01,824865
2016-02-01,835631
2016-03-01,838030
2016-04-01,840436
2016-05-01,842849
2016-06-01,845268
2016-07-01,847695
2016-08-01,850129
2016-09-01,852569
2016-10-01,855017
2016-11-01,857472
2016-12-01,859933
2017-01-01,738018
2017-02-01,747669
2017-03-01,752662
2017-04-01,752277
2017-05-01,756177
2017-06-01,753825
2017-07-01,751209
2017-08-01,748804
2017-09-01,747029
2017-10-01,750441
2017-11-01,761356
2017-12-01,758663
2018-01-01,767972
2018-02-01,777055
2018-03-01,783794
2018-04-01,781371
2018-05-01,771331
2018-06-01,740106
2018-07-01,712782
2018-08-01,701775
2018-09-01,695575
2018-10-01,694657
2018-11-01,701217
2018-12-01,696644
2019-01-01,698245
2019-02-01,696934
2019-03-01,693919
2019-04-01,685118
2019-05-01,684654
2019-06-01,677281
2019-07-01,672334
2019-08-01,668811
2019-09-01,663115
2019-10-01,667274
2019-11-01,676616
2019-12-01,674881
2020-01-01,681311
2020-02-01,689615
2020-03-01,687441
2020-04-01,668373
2020-05-01,658028
2020-06-01,648019
2020-07-01,645696
2020-08-01,648613
2020-09-01,649338
2020-10-01,660318
2020-11-01,666882
2020-12-01,675578
2021-01-01,688607
2021-02-01,696666
2021-03-01,703638
2021-04-01,705587
2021-05-01,711587
2021-06-01,709666
2021-07-01,710019
2021-08-01,710136
2021-09-01,707489
2021-10-01,715439
2021-11-01,726154
2021-12-01,721975
2022-01-01,731705
2022-02-01,736827
2022-03-01,744934
2022-04-01,741484
2022-05-01,741490
2022-06-01,753201
2022-07-01,755908
2022-08-01,758571
2022-09-01,761201
2022-10-01,763805
2022-11-01,766387
2022-12-01,768950
